Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3384-6617-0545-60529,"Jul 1, 2021",1:39:47 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1s,DE,,58239,EUR,1.76,1.000000,EUR,1.76
GPA.3396-1997-7591-82127,"Jul 1, 2021",1:54:45 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,H3113,GB,,M28 3GY,GBP,1.51,1.165500,EUR,1.76
GPA.3360-5187-7201-62986,"Jul 1, 2021",8:11:25 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,starqltesq,US,OH,45631,USD,3.49,0.842150,EUR,2.94
GPA.3360-5187-7201-62986,"Jul 1, 2021",8:11:25 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,starqltesq,US,OH,45631,USD,-1.05,0.842150,EUR,-0.88
GPA.3306-3961-6901-31279,"Jul 1, 2021",3:05:07 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OP4C7BL1,NL,,1357BB,EUR,3.50,1.000000,EUR,3.50
GPA.3392-2983-2050-17240,"Jul 1, 2021",3:19:26 PM PDT,,Charge,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,gta2swifi,US,NE,68138,USD,2.49,0.843850,EUR,2.10
GPA.3392-2983-2050-17240,"Jul 1, 2021",3:19:26 PM PDT,,Google fee,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,gta2swifi,US,NE,68138,USD,-0.37,0.843850,EUR,-0.31
GPA.3394-5678-7567-12042,"Jul 1, 2021",3:26:03 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,CA,93454,USD,5.49,0.843850,EUR,4.63
GPA.3394-5678-7567-12042,"Jul 1, 2021",3:26:03 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,CA,93454,USD,-0.82,0.843850,EUR,-0.69
GPA.3379-1386-6536-84283,"Jul 1, 2021",3:31:31 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,US,CA,93454,USD,3.49,0.843850,EUR,2.95
GPA.3379-1386-6536-84283,"Jul 1, 2021",3:31:31 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,p3q,US,CA,93454,USD,-0.52,0.843850,EUR,-0.44
GPA.3349-1050-7786-05587,"Jul 1, 2021",5:18:45 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sofiap,US,NJ,07065,USD,3.49,0.844100,EUR,2.95
GPA.3349-1050-7786-05587,"Jul 1, 2021",5:18:45 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sofiap,US,NJ,07065,USD,-0.52,0.844100,EUR,-0.44
GPA.3380-4787-4098-38587,"Jul 1, 2021",5:19:07 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,sofiap,US,NJ,07065,USD,5.49,0.844100,EUR,4.63
GPA.3380-4787-4098-38587,"Jul 1, 2021",5:19:07 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,sofiap,US,NJ,07065,USD,-0.82,0.844100,EUR,-0.69
GPA.3379-0648-7493-94696,"Jul 1, 2021",7:02:44 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gts4lvwifi,US,TX,76201,USD,3.49,0.844400,EUR,2.95
GPA.3379-0648-7493-94696,"Jul 1, 2021",7:02:44 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gts4lvwifi,US,TX,76201,USD,-0.52,0.844400,EUR,-0.44
GPA.3340-8338-8454-54266,"Jul 1, 2021",7:03:01 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts4lvwifi,US,TX,76201,USD,5.49,0.844400,EUR,4.64
GPA.3340-8338-8454-54266,"Jul 1, 2021",7:03:01 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts4lvwifi,US,TX,76201,USD,-0.82,0.844400,EUR,-0.69
GPA.3336-8074-6898-27607,"Jul 1, 2021",7:54:07 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,E6910,US,AZ,86409,USD,3.49,0.844400,EUR,2.95
GPA.3336-8074-6898-27607,"Jul 1, 2021",7:54:07 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,E6910,US,AZ,86409,USD,-0.52,0.844400,EUR,-0.44
GPA.3320-5086-5928-57180,"Jul 1, 2021",10:44:40 PM PDT,,Charge,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,beyond1q,US,AZ,85009,USD,2.49,0.844350,EUR,2.10
GPA.3320-5086-5928-57180,"Jul 1, 2021",10:44:40 PM PDT,,Google fee,,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,beyond1q,US,AZ,85009,USD,-0.37,0.844350,EUR,-0.31
GPA.3386-9808-4938-65006,"Jul 1, 2021",10:45:14 PM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,beyond1q,US,AZ,85009,USD,1.99,0.844350,EUR,1.68
GPA.3386-9808-4938-65006,"Jul 1, 2021",10:45:14 PM PDT,,Google fee,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,beyond1q,US,AZ,85009,USD,-0.30,0.844350,EUR,-0.25
GPA.3320-8343-2426-57195,"Jul 1, 2021",11:38:44 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,cv7as,US,AR,72756,USD,5.49,0.844250,EUR,4.63
GPA.3320-8343-2426-57195,"Jul 1, 2021",11:38:44 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,cv7as,US,AR,72756,USD,-0.82,0.844250,EUR,-0.69
GPA.3360-1908-2395-98097,"Jul 2, 2021",12:30:56 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2s,BR,RJ,27115010,BRL,20.99,0.167260,EUR,3.51
GPA.3360-1908-2395-98097,"Jul 2, 2021",12:30:56 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2s,BR,RJ,27115010,BRL,-3.15,0.167260,EUR,-0.53
GPA.3360-1908-2395-98097,"Jul 2, 2021",12:30:56 AM PDT,Brazil CIDE Withholding Tax,Tax,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2s,BR,RJ,27115010,EUR,-0.35,1.000000,EUR,-0.35
GPA.3360-1908-2395-98097,"Jul 2, 2021",12:30:56 AM PDT,Brazil CIDE Withholding Tax,Tax,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2s,BR,RJ,27115010,EUR,0.06,1.000000,EUR,0.06
GPA.3360-1908-2395-98097,"Jul 2, 2021",12:30:56 AM PDT,Brazil IRRF Withholding Tax,Tax,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2s,BR,RJ,27115010,EUR,0.08,1.000000,EUR,0.08
GPA.3360-1908-2395-98097,"Jul 2, 2021",12:30:56 AM PDT,Brazil IRRF Withholding Tax,Tax,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2s,BR,RJ,27115010,EUR,-0.53,1.000000,EUR,-0.53
GPA.3315-2392-2736-45396,"Jul 2, 2021",1:14:54 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,KS,66046,USD,5.49,0.845200,EUR,4.64
GPA.3315-2392-2736-45396,"Jul 2, 2021",1:14:54 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,KS,66046,USD,-0.82,0.845200,EUR,-0.69
GPA.3375-8324-3272-36031,"Jul 2, 2021",1:16:01 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,c2q,US,KS,66046,USD,3.49,0.845200,EUR,2.95
GPA.3375-8324-3272-36031,"Jul 2, 2021",1:16:01 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,c2q,US,KS,66046,USD,-0.52,0.845200,EUR,-0.44
GPA.3333-5044-6742-66954,"Jul 2, 2021",12:03:32 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sunfish,US,CA,92310,USD,3.49,0.842550,EUR,2.94
GPA.3333-5044-6742-66954,"Jul 2, 2021",12:03:32 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,sunfish,US,CA,92310,USD,-0.52,0.842550,EUR,-0.44
GPA.3313-5708-4591-19153,"Jul 2, 2021",12:14:54 PM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,star2qltesq,US,FL,33801,USD,1.99,0.842550,EUR,1.68
GPA.3313-5708-4591-19153,"Jul 2, 2021",12:14:54 PM PDT,,Google fee,,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,star2qltesq,US,FL,33801,USD,-0.30,0.842550,EUR,-0.25
GPA.3362-2448-1377-79899,"Jul 2, 2021",4:27:24 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mmh4x,US,AZ,85017,USD,3.49,0.842850,EUR,2.94
GPA.3362-2448-1377-79899,"Jul 2, 2021",4:27:24 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mmh4x,US,AZ,85017,USD,-0.52,0.842850,EUR,-0.44
GPA.3324-3609-7148-02552,"Jul 2, 2021",4:27:38 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mmh4x,US,AZ,85017,USD,5.49,0.842850,EUR,4.63
GPA.3324-3609-7148-02552,"Jul 2, 2021",4:27:38 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mmh4x,US,AZ,85017,USD,-0.82,0.842850,EUR,-0.69
GPA.3362-9079-9421-09005,"Jul 2, 2021",8:44:48 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,coral,US,TX,77077,USD,5.49,0.842850,EUR,4.63
GPA.3362-9079-9421-09005,"Jul 2, 2021",8:44:48 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,coral,US,TX,77077,USD,-0.82,0.842850,EUR,-0.69
GPA.3302-6690-7013-56794,"Jul 2, 2021",8:45:05 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,coral,US,TX,77077,USD,3.49,0.842850,EUR,2.94
GPA.3302-6690-7013-56794,"Jul 2, 2021",8:45:05 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,coral,US,TX,77077,USD,-0.52,0.842850,EUR,-0.44
GPA.3354-9301-2022-24839,"Jul 2, 2021",9:25:06 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,starqltesq,US,WA,98597,USD,5.49,0.842850,EUR,4.63
