Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID
GPA.3384-0759-6758-64502,"Oct 1, 2021",8:26:56 AM PDT,,Charge,,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,dmtoolspf2,HWVOG,DK,,4220,DKK,14.96,0.134490,EUR,2.01,,
GPA.3316-6918-2367-71939,"Oct 1, 2021",9:21:12 AM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,charpf2,HWVOG,DK,,4220,DKK,25.16,0.134470,EUR,3.38,,
GPA.3380-6384-8628-62501,"Oct 1, 2021",11:04:32 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,x1s,GB,,CV2 3PX,GBP,2.97,1.169300,EUR,3.47,,
GPA.3397-3647-2624-42899,"Oct 1, 2021",12:57:08 PM PDT,,Charge,,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,dmtoolspf2,r8q,US,OK,73051,USD,3.49,0.862100,EUR,3.01,,
GPA.3397-3647-2624-42899,"Oct 1, 2021",12:57:08 PM PDT,,Google fee,,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,dmtoolspf2,r8q,US,OK,73051,USD,-0.52,0.862100,EUR,-0.45,,
GPA.3343-6884-1423-78350,"Oct 1, 2021",1:40:24 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,HWAGS-Q,US,MI,49327,USD,3.49,0.862100,EUR,3.01,,
GPA.3343-6884-1423-78350,"Oct 1, 2021",1:40:24 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,HWAGS-Q,US,MI,49327,USD,-0.52,0.862100,EUR,-0.45,,
GPA.3324-5518-8717-02774,"Oct 1, 2021",2:01:09 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,crownqltesq,US,AZ,85354,USD,3.49,0.862200,EUR,3.01,,
GPA.3324-5518-8717-02774,"Oct 1, 2021",2:01:09 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,crownqltesq,US,AZ,85354,USD,-0.52,0.862200,EUR,-0.45,,
GPA.3308-1293-1423-38419,"Oct 1, 2021",4:57:17 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond2q,US,CA,92840,USD,5.49,0.862550,EUR,4.74,,
GPA.3308-1293-1423-38419,"Oct 1, 2021",4:57:17 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond2q,US,CA,92840,USD,-0.82,0.862550,EUR,-0.71,,
GPA.3300-1318-3426-00819,"Oct 2, 2021",3:53:36 AM PDT,,Charge,,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,dmtoolspf2,OnePlus8Pro,IT,PT,51016,EUR,2.08,1.000000,EUR,2.08,,
GPA.3352-5346-3105-76109,"Oct 2, 2021",12:12:27 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1q,US,IA,50125,USD,3.49,0.862550,EUR,3.01,,
GPA.3352-5346-3105-76109,"Oct 2, 2021",12:12:27 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,o1q,US,IA,50125,USD,-0.52,0.862550,EUR,-0.45,,
GPA.3370-1060-2349-31669,"Oct 2, 2021",12:27:03 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a20p,US,GA,31535,USD,5.49,0.862550,EUR,4.74,,
GPA.3370-1060-2349-31669,"Oct 2, 2021",12:27:03 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a20p,US,GA,31535,USD,-0.82,0.862550,EUR,-0.71,,
GPA.3349-1084-9421-98532,"Oct 2, 2021",3:15:13 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus6T,US,NY,13208,USD,5.49,0.862550,EUR,4.74,,
GPA.3349-1084-9421-98532,"Oct 2, 2021",3:15:13 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus6T,US,NY,13208,USD,-0.82,0.862550,EUR,-0.71,,
GPA.3325-1939-9353-68697,"Oct 2, 2021",4:22:48 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,crownqltesq,US,VA,23320,USD,3.49,0.862550,EUR,3.01,,
GPA.3325-1939-9353-68697,"Oct 2, 2021",4:22:48 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,crownqltesq,US,VA,23320,USD,-0.52,0.862550,EUR,-0.45,,
GPA.3302-1161-8350-66873,"Oct 3, 2021",9:39:30 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,r8q,US,AR,72131,USD,5.49,0.862550,EUR,4.74,,
GPA.3302-1161-8350-66873,"Oct 3, 2021",9:39:30 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,r8q,US,AR,72131,USD,-0.82,0.862550,EUR,-0.71,,
GPA.3301-9697-9086-54726,"Oct 3, 2021",9:39:40 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,r8q,US,AR,72131,USD,3.49,0.862550,EUR,3.01,,
GPA.3301-9697-9086-54726,"Oct 3, 2021",9:39:40 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,r8q,US,AR,72131,USD,-0.52,0.862550,EUR,-0.45,,
GPA.3323-4558-5944-52516,"Oct 3, 2021",10:58:30 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,FP3,CH,,1323,CHF,3.40,0.926380,EUR,3.15,,
GPA.3323-4558-5944-52516,"Oct 3, 2021",10:58:30 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,FP3,CH,,1323,CHF,-0.51,0.926380,EUR,-0.47,,
GPA.3398-4752-3413-33263,"Oct 3, 2021",12:06:29 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,j4lte,US,FL,33134,USD,3.49,0.862250,EUR,3.01,,
GPA.3398-4752-3413-33263,"Oct 3, 2021",12:06:29 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,j4lte,US,FL,33134,USD,-0.52,0.862250,EUR,-0.45,,
GPA.3323-0066-9709-63399,"Oct 3, 2021",12:45:53 PM PDT,,Charge,,Character Manager (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,charpf2,foles,US,IN,47404,USD,5.49,0.862250,EUR,4.73,,
GPA.3323-0066-9709-63399,"Oct 3, 2021",12:45:53 PM PDT,,Google fee,,Character Manager (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,1,charpf2,foles,US,IN,47404,USD,-0.82,0.862250,EUR,-0.71,,
GPA.3343-4172-9342-05497,"Oct 3, 2021",4:06:10 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,greatqlte,US,CO,80218,USD,5.49,0.862250,EUR,4.73,,
GPA.3343-4172-9342-05497,"Oct 3, 2021",4:06:10 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,greatqlte,US,CO,80218,USD,-0.82,0.862250,EUR,-0.71,,
GPA.3380-0601-4399-82009,"Oct 3, 2021",4:59:14 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,timelm,US,MD,21122,USD,5.49,0.862250,EUR,4.73,,
GPA.3380-0601-4399-82009,"Oct 3, 2021",4:59:14 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,timelm,US,MD,21122,USD,-0.82,0.862250,EUR,-0.71,,
GPA.3310-2029-8171-86615,"Oct 3, 2021",5:23:55 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,UT,84404,USD,5.49,0.861500,EUR,4.73,,
GPA.3310-2029-8171-86615,"Oct 3, 2021",5:23:55 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,UT,84404,USD,-0.82,0.861500,EUR,-0.71,,
GPA.3397-6366-7093-62368,"Oct 3, 2021",6:43:29 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,alphalm,US,AL,35661,USD,3.49,0.861550,EUR,3.01,,
GPA.3397-6366-7093-62368,"Oct 3, 2021",6:43:29 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,alphalm,US,AL,35661,USD,-0.52,0.861550,EUR,-0.45,,
