Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3369-7645-1351-23893,2021-12-01,1638323287,Charged,minsk,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.11,2.07,LAKE GENEVA,WI,53147,US,,
GPA.3325-4462-7144-19893,2021-12-01,1638324418,Charged,minsk,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.30,5.79,LAKE GENEVA,WI,53147,US,,
GPA.3386-1806-6170-86318,2021-12-01,1638330683,Charged,OnePlus7TTMO,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.14,2.10,DAYTON,OH,45449,US,,
GPA.3355-0634-1351-98460,2021-12-01,1638344202,Charged,minsk,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.31,3.80,Tucson,AZ,85705,US,,
GPA.3351-5673-3122-67736,2021-12-01,1638344236,Charged,minsk,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.48,5.97,Tucson,AZ,85705,US,,
GPA.3365-2588-8842-91290,2021-12-01,1638347900,Charged,bonito,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,GBP,1.27,0.25,1.52,,,,GB,,
GPA.3389-6655-3794-81339,2021-12-01,1638350129,Charged,star2qltesq,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.00,3.49,UNINCORPORATED,AK,99654,US,,
GPA.3311-0142-6457-92656,2021-12-01,1638350143,Charged,star2qltesq,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.00,5.49,UNINCORPORATED,AK,99654,US,,
GPA.3380-8702-9709-42176,2021-12-01,1638350966,Charged,j5y17lte,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,EUR,1.81,0.38,2.19,,,,ES,,
GPA.3343-4702-5432-38466,2021-12-01,1638372508,Charged,kukui_cheets,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.09,0.90,4.99,,,,IT,,
GPA.3305-8163-5342-14086,2021-12-01,1638373178,Charged,gta4l,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,GBP,1.57,0.32,1.89,,,,GB,,
GPA.3352-0988-9289-81540,2021-12-01,1638373241,Charged,gta4l,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,GBP,1.41,0.28,1.69,,,,GB,,
GPA.3389-4126-6280-09904,2021-12-01,1638381477,Charged,OnePlus8VZW,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,USD,2.49,0.15,2.64,CORBIN,KY,40701,US,,
GPA.3301-2233-9178-48525,2021-12-01,1638390763,Charged,cv7as,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.14,2.10,SAINT MARYS,OH,45885,US,,
GPA.3306-7348-7295-48550,2021-12-02,1638421041,Charged,OnePlus6T,Dungeon Master Tools (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,inapp,dmtoolspf2,NZD,4.34,0.65,4.99,Tauraga,,3112,NZ,,
GPA.3371-9088-5191-57434,2021-12-02,1638421066,Charged,OnePlus6T,Character Manager (Complete Reference for Pathfinder 2),com.vansteinengroentjes.pathfindertwo,inapp,charpf2,NZD,6.95,1.04,7.99,Tauraga,,3112,NZ,,
GPA.3376-6320-1888-65020,2021-12-02,1638432197,Charged,aura,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.25,3.74,Lindon,UT,84042,US,,
GPA.3394-2029-3743-32532,2021-12-02,1638432357,Charged,aura,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.40,5.89,Lindon,UT,84042,US,,
GPA.3319-8033-9737-47036,2021-12-02,1638440809,Charged,surfna,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.17,3.66,Waianae,HI,96792,US,,
GPA.3304-0148-9974-68693,2021-12-02,1638481845,Charged,p3q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.37,5.86,BEAVERCREEK,OH,45432,US,,
GPA.3394-9099-4461-33182,2021-12-03,1638490120,Charged,p3q,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,inapp,premium,USD,2.49,0.18,2.67,HOOPER,UT,84067,US,,
GPA.3350-4500-6033-86998,2021-12-03,1638490135,Charged,p3q,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.15,2.11,HOOPER,UT,84067,US,,
GPA.3315-8718-1995-09776,2021-12-03,1638569524,Charged,p3q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.36,5.85,WALL TOWNSHIP,NJ,08724,US,,
GPA.3320-2518-7324-54841,2021-12-03,1638573138,Charged,cruiserlteatt,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.29,3.78,HOUSTON,TX,77373,US,,
GPA.3378-2221-1231-67531,2021-12-03,1638573158,Charged,cruiserlteatt,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.45,5.94,HOUSTON,TX,77373,US,,
